city,utc_time,pm10_µg/m³,pm1_µg/m³,pm25_µg/m³,temperature_c,um003_particles/cm³,um050_particles/cm³,sum_mn,aimag_eng,aimag_mng
Altai,2020-11-27 00:00:00+00:00,0.0,0.0,0.1,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-11-28 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-11-29 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-11-30 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-01 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-02 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-03 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-04 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-05 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-06 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-07 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-08 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-09 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-10 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-11 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-12 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-13 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-14 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-15 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2020-12-16 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
