index,Location ID,City,Name,Start Date,geometry,nearest_city,address
0,525556,,Selenge_01,2023-05-23T18:01:00+00:00,POINT (106.192795 50.23964),Sukhbaatar,"Sükhbaatar, Sukhbaatar, Selenge, Mongolia"
1,230487,,Dornod_01(Цаг уур),2020-11-27T22:22:52+00:00,POINT (114.537224 48.080276),Choibalsan,"10 -Р БАГ, Цаг уур, Choibalsan, Kherlen, Dornod, Mongolia"
2,72184,,Shangri-La,2023-05-23T18:00:37+00:00,POINT (106.92244 47.91247),Ulaanbaatar,"National Amusement Park of Mongolia, Chinggis Avenue, Baga Toirog, Sükhbaatar, Ulaanbaatar, 15650, Mongolia"
3,227901,,NAMEM Site near KG200,2021-06-11T18:43:19+00:00,POINT (107.118 47.8665),Ulaanbaatar,"Bayanzürkh, Ulaanbaatar, Mongolia"
4,525532,,Sukhbaatar_01,2023-01-26T08:29:05+00:00,POINT (113.28328 46.672695),Baruun-Urt,"Baruun-Urt, Sükhbaatar, 22070, Mongolia"
5,226883,,Tub_01(Цаг уур),2023-05-23T17:29:54+00:00,POINT (106.901886 47.7125),Sergelen,"Ulaanbaatar - Mandalgovi Highway, Sergelen, Töv, Mongolia"
6,525523,,Khuvsgul_01,2023-01-26T08:40:29+00:00,POINT (100.16647 49.638718),Murun,"A0902, Murun, Hovsgel, 97638, Mongolia"
7,525503,,Khentii_01,2023-08-18T09:30:01+00:00,POINT (110.662 47.322),Enderkhaan,"Enderkhaan, Kherlen, Khentii, 93110, Mongolia"
8,525536,,Arkhangai,2023-05-23T18:01:00+00:00,POINT (101.46247 47.47228),Erdenebulgan,"Erdenebulgan, Arkhangai, 65000, Mongolia"
9,230482,,Zuunkharaa_01(Худалдааны гудамж),2023-05-23T18:10:17+00:00,POINT (106.45544 48.98557),Bayangol,"Bayangol, Selenge, Mongolia"
10,234145,,Umnugobi_03(90 орт),2023-05-23T17:57:18+00:00,POINT (104.4227 43.56753),Dalanzadgad,"Dalanzadgad, Ömnögovi, Mongolia"
11,358188,,Maral hospital,2023-11-07T09:19:47+00:00,POINT (106.963264 47.918804),Ulaanbaatar,"Tsayz, Bayanzürkh, Ulaanbaatar, 13330, Mongolia"
12,230505,,Gobi-Altai_01 (Эрүүл мэндийн газар),2023-05-23T18:00:29+00:00,POINT (96.261444 46.37375),Altai,"Altai, Yesönbulag, Govi-Altai, Mongolia"
13,230642,,Dornogobi_01(Цаг уур),2023-05-23T18:00:49+00:00,POINT (110.14117 44.89325),Sainshand,"машин зам, Sainshand, Dornogovi, Mongolia"
14,230512,,bulgan_01(Цаг уур),2021-07-30T06:01:55+00:00,POINT (103.51873 48.81829),Bulgan,"Bulgan, Mongolia"
15,230510,,Dundgobi_01(Цаг уур),2023-05-23T17:29:23+00:00,POINT (106.27489 45.767166),Mandalgovi,"Цаг уурын төв, Улаанбаатар - Мандалговь, Mandalgovi, Saintsagaan, Dundgovi, 48000, Mongolia"
16,525529,,Zavkhan_01,2023-07-31T05:26:42+00:00,POINT (96.843025 47.74261),Uliastai,"Uliastai, Zavkhan, Mongolia"
17,525544,,Darkhan_01,2023-01-26T08:51:18+00:00,POINT (105.94039 49.49008),Darkhan,"гүлс гүлс авто угаалга, A0401, Darkhan, Darkhan-Uul, 49000, Mongolia"
18,232310,,Gobisumber_05 (Цаг уур),2023-05-23T17:29:54+00:00,POINT (108.380165 46.49039),Bayantal,"Bayantal, Govisumber, Mongolia"
19,230483,,Ubs_01(Цаг уур),2020-11-27T22:20:15+00:00,POINT (92.06861 49.971558),Ulaangom,"Ulaangom, Uvs, Mongolia"
20,490990,,Dynamic office,2023-05-23T18:01:01+00:00,POINT (106.908615 47.892483),Ulaanbaatar,"Zaisan, Khan-Uul, Ulaanbaatar, 17029, Mongolia"
21,230481,,Khobd_01(Цаг уур),2023-05-23T17:57:07+00:00,POINT (91.63353 47.995724),Khovd,"6-р цэцэрлэг, Duut Road, Khovd, Jargalant, Khovd, 84000, Mongolia"
22,230697,,Uburkhangai_01( Хас банк),2023-05-23T17:58:14+00:00,POINT (102.77983 46.263027),Arvaikheer,"Renchinpelje Street, Arvaikheer, Övörkhangai, Mongolia"
23,8160,N/A,Ulaanbaatar,2016-11-09T17:00:00+00:00,POINT (106.92947 47.928385),Ulaanbaatar,"Embassy of the United States, Денверийн гудамж, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14171, Mongolia"
24,230489,,bayan-Ulgii_01(Цаг уур),2020-11-25T22:18:48+00:00,POINT (89.96492 48.96925),Ulgii,"Ölgii, Bayan-Ölgii, 83120, Mongolia"
25,400577,,MUST BEEC,2021-01-06T19:02:13+00:00,POINT (106.925125 47.921803),Ulaanbaatar,"Beijing Street, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14120, Mongolia"
26,275089,,PA_dae4,2022-01-07T09:30:35+00:00,POINT (100.72008 46.196995),Bayankhongor,"Bayankhongor, Mongolia"
27,234146,,Umnugobi_04(5-р сургууль),2021-08-31T00:07:06+00:00,POINT (104.42727 43.58554),Dalanzadgad,"Булган - Даланзадгад, Dalanzadgad, Ömnögovi, Mongolia"
28,230484,,Umnugobi_01( Цаг уур),2023-05-23T17:29:44+00:00,POINT (104.41902 43.57705),Dalanzadgad,"Dalanzadgad, Ömnögovi, Mongolia"
29,230480,,Khentii_01(Цэцэрлэгт хүрээлэн),2023-05-26T20:51:09+00:00,POINT (110.66209 47.32197),Undurkhaan,"Enderkhaan, Kherlen, Khentii, 93110, Mongolia"
30,310527,,Ref_PA167,2023-06-06T05:08:17+00:00,POINT (100.7197 46.1972),Bayankhongor,"Bayankhongor, Mongolia"
31,230997,,Sukhbaatar_01(Цаг уур),2021-08-06T01:55:40+00:00,POINT (113.28328 46.672695),Baruun-Urt,"Baruun-Urt, Sükhbaatar, 22070, Mongolia"
32,230501,,Zabkhan_01( Жинст баг),2021-07-30T02:33:40+00:00,POINT (96.843025 47.74261),Uliastai,"Uliastai, Zavkhan, Mongolia"
33,234457,,Umnugobi_02( 4-р сургууль),2023-05-23T17:57:13+00:00,POINT (104.41136 43.56279),Dalanzadgad,"Dalanzadgad, Ömnögovi, Mongolia"
34,230485,,Orkhon_02( Онцгой байдал),2023-05-23T18:00:57+00:00,POINT (104.02805 49.023888),Erdenet,"7th microdistrict (in construction), Tsagaan Chuluut, Erdenet, Bayan-Ondor, Orkhon, 61035, Mongolia"
35,231488,,Darkhan_01 (Цаг уур),2021-08-10T03:12:21+00:00,POINT (105.94039 49.49008),Darkhan,"гүлс гүлс авто угаалга, A0401, Darkhan, Darkhan-Uul, 49000, Mongolia"
36,231487,,Orkhon_01( Төгөлийн 4 зам),2023-05-23T17:29:37+00:00,POINT (104.04528 49.0275),Erdenet,"Хаан банк, 123, Эрх чөлөөний гудамж, 7th microdistrict (in construction), Bayan-Öndör, Erdenet, Bayan-Ondor, Orkhon, 61020, Mongolia"
